Date / Time,CPU Usage %,Temperature C
2017-05-07 14:53:10,44.6,79
2017-05-07 14:53:16,46.9,78.4
2017-05-07 14:53:22,44.8,78.4
2017-05-07 14:53:27,44.9,77.9
2017-05-07 14:53:33,43.6,77.9
2017-05-07 14:53:39,47.4,78.4
2017-05-07 14:53:44,45.9,77.9
2017-05-07 14:53:50,45.4,77.9
2017-05-07 14:53:55,46.3,78.4
2017-05-07 14:54:01,43.7,78.4
2017-05-07 14:54:06,48.9,77.9
2017-05-07 14:54:11,43.9,77.9
2017-05-07 14:54:17,50.3,78.4
2017-05-07 14:54:22,48.9,78.4
2017-05-07 14:54:28,53.3,79.5
2017-05-07 14:54:33,45.9,77.9
2017-05-07 14:54:39,43.6,78.4
2017-05-07 14:54:44,46.8,78.4
2017-05-07 14:54:50,47.3,79
2017-05-07 14:54:56,48.3,79
2017-05-07 14:55:01,44.5,79
2017-05-07 14:55:07,48.2,79
2017-05-07 14:55:13,43.9,78.4
2017-05-07 14:55:18,49,78.4
2017-05-07 14:55:24,50.6,79
2017-05-07 14:55:29,48.4,79
2017-05-07 14:55:35,43.9,78.4
2017-05-07 14:55:40,47.5,78.4
2017-05-07 14:55:46,47.4,78.4
2017-05-07 14:55:51,49.5,79
2017-05-07 14:55:57,49.5,79.5
2017-05-07 14:56:03,48.5,79
2017-05-07 14:56:08,44.6,79
2017-05-07 14:56:14,49,79
2017-05-07 14:56:19,47.6,78.4
2017-05-07 14:56:24,43.7,79
2017-05-07 14:56:30,47.7,78.4
2017-05-07 14:56:36,41.1,77.9
2017-05-07 14:56:42,48.3,78.4
2017-05-07 14:56:47,45.4,78.4
2017-05-07 14:56:53,48.2,79
2017-05-07 14:56:58,43.2,78.4
2017-05-07 14:57:04,46.3,79
2017-05-07 14:57:10,45.6,79.5
2017-05-07 14:57:15,47.1,78.4
2017-05-07 14:57:21,44.6,78.4
2017-05-07 14:57:27,46.7,79
2017-05-07 14:57:32,45.7,79
2017-05-07 14:57:38,45.2,78.4
2017-05-07 14:57:43,43.6,78.4
2017-05-07 14:57:49,46,78.4
2017-05-07 14:57:54,47.8,79
2017-05-07 14:58:00,45,78.4
2017-05-07 14:58:06,48.6,78.4
2017-05-07 14:58:11,46,79
2017-05-07 14:58:17,49.7,79
2017-05-07 14:58:22,56.7,80.1
2017-05-07 14:58:28,56.5,80.6
2017-05-07 14:58:33,43.2,79.5
2017-05-07 14:58:39,42.5,79.5
2017-05-07 14:58:44,42.6,78.4
2017-05-07 14:58:50,46.1,79
2017-05-07 14:58:56,46.5,78.4
2017-05-07 14:59:01,46.4,78.4
2017-05-07 14:59:07,47.5,79.5
2017-05-07 14:59:12,45,79.5
2017-05-07 14:59:18,47.8,79.5
2017-05-07 14:59:23,45.7,79
2017-05-07 14:59:29,49.3,79.5
2017-05-07 14:59:34,46.7,79.5
2017-05-07 14:59:40,47.7,79
2017-05-07 14:59:45,41.4,79
2017-05-07 14:59:51,47.9,79.5
2017-05-07 14:59:57,44.8,79.5
2017-05-07 15:00:02,46.1,80.1
2017-05-07 15:00:08,46.1,79.5
2017-05-07 15:00:13,45.5,79.5
2017-05-07 15:00:19,47.5,80.1
2017-05-07 15:00:24,47.2,79.5
2017-05-07 15:00:30,48.1,79.5
2017-05-07 15:00:35,42.1,79
2017-05-07 15:00:41,49.2,79.5
2017-05-07 15:00:46,43.8,79
2017-05-07 15:00:52,48.2,79.5
2017-05-07 15:00:58,47.7,79.5
2017-05-07 15:01:03,51.5,79.5
2017-05-07 15:01:09,46.9,79.5
2017-05-07 15:01:14,46.2,80.1
2017-05-07 15:01:19,48,79.5
2017-05-07 15:01:25,47.4,79.5
2017-05-07 15:01:30,48.2,79.5
2017-05-07 15:01:36,44,79
2017-05-07 15:01:42,46.6,79.5
2017-05-07 15:01:47,43.7,79.5
2017-05-07 15:01:52,46,79.5
2017-05-07 15:01:58,45.7,79
2017-05-07 15:02:03,49.2,79.5
2017-05-07 15:02:09,44.2,78.4
2017-05-07 15:02:14,44.4,79.5
2017-05-07 15:02:20,44.6,79.5
2017-05-07 15:02:25,44.2,79.5
2017-05-07 15:02:31,46.4,78.4
2017-05-07 15:02:36,43.1,78.4
2017-05-07 15:02:42,45.6,79
2017-05-07 15:02:47,44.7,79
2017-05-07 15:02:53,51.1,80.1
2017-05-07 15:02:58,45.9,79.5
2017-05-07 15:03:04,46.2,79.5
2017-05-07 15:03:09,44.8,79.5
2017-05-07 15:03:14,46,79.5
2017-05-07 15:03:20,43.9,79.5
2017-05-07 15:03:25,44.2,79.5
2017-05-07 15:03:31,44.1,79.5
2017-05-07 15:03:36,42.6,79.5
2017-05-07 15:03:41,47,79.5
2017-05-07 15:03:47,43.3,79
2017-05-07 15:03:53,47.2,79.5
2017-05-07 15:03:58,47.1,79.5
2017-05-07 15:04:03,47.7,79.5
2017-05-07 15:04:09,42.6,79
2017-05-07 15:04:14,47,79
2017-05-07 15:04:19,44,79
2017-05-07 15:04:25,42.7,79.5
2017-05-07 15:04:30,43.8,78.4
2017-05-07 15:04:35,40.8,78.4
2017-05-07 15:04:41,43.8,78.4
2017-05-07 15:04:46,43.9,79
2017-05-07 15:04:52,48.6,79.5
2017-05-07 15:04:57,44.2,79
